ident,type,name,municipality,latitude,longitude,region,takeoffs,landings,total,count_destinations
00AK,small_airport,Lowell Field,Anchor Point, 59.94919968,-151.695999146,unkown,41,66,107,13
00AL,small_airport,Epps Airpark,Harvest, 34.86479949951172,-86.77030181884766,unkown,4,14,18,3
00AS,small_airport,Fulton Airport,Alex, 34.9428028,-97.8180194,unkown,20,20,40,14
00AZ,small_airport,Cordes Airport,Cordes, 34.305599212646484,-112.16500091552734,unkown,81,148,229,13
00CL,small_airport,Williams Ag Airport,Biggs, 39.427188,-121.763427,unkown,55,106,161,30
00FA,small_airport,Grass Patch Airport,Bushnell, 28.64550018310547,-82.21900177001953,unkown,8,11,19,8
00FL,small_airport,River Oak Airport,Okeechobee, 27.230899810791016,-80.96920013427734,unkown,45,65,110,25
00GA,small_airport,Lt World Airport,Lithonia, 33.76750183105469,-84.06829833984375,unkown,33,10,43,10
00ID,small_airport,Delta Shores Airport,Clark Fork, 48.145301818847656,-116.21399688720703,unkown,4,7,11,4
00IL,small_airport,Hammer Airport,Polo, 41.97840118408203,-89.5604019165039,unkown,10,11,21,9
00IS,small_airport,Hayenga's Cant Find Farms Airport,Kings, 40.02560043334961,-89.1229019165039,unkown,5,10,15,5
00KS,small_airport,Hayden Farm Airport,Gardner, 38.72779846191406,-94.93049621582031,unkown,117,50,167,65
00KY,small_airport,Robbins Roost Airport,Stanford, 37.409400939941406,-84.61969757080078,unkown,2,16,18,2
00MD,small_airport,Slater Field,Federalsburg, 38.75709915161133,-75.75379943847656,unkown,15,16,31,12
00MO,small_airport,Cooper Flying Service Airport,Alba, 37.202800750732,-94.412399291992,unkown,7,0,7,7
00NC,small_airport,North Raleigh Airport,Louisburg, 36.085201263427734,-78.37139892578125,unkown,69,46,115,46
00NY,small_airport,Weiss Airfield,West Bloomfield, 42.90010070800781,-77.49970245361328,unkown,22,17,39,14
00OH,closed,Exit 3 Airport,Wauseon, 41.590476,-84.141583,unkown,11,13,24,10
00PN,small_airport,Ferrell Field,Mercer, 41.2995,-80.211111,unkown,11,9,20,9
00SC,small_airport,Flying O Airport,Sumter, 34.0093994140625,-80.26719665527344,unkown,30,38,68,27
00TN,small_airport,Ragsdale Road Airport,Manchester, 35.515899658203125,-85.95359802246094,unkown,4,2,6,4
00TS,small_airport,Alpine Range Airport,Everman, 32.607601165771484,-97.24199676513672,unkown,12,1,13,9
00VA,small_airport,Vaughan Airport,Alton, 36.57600021,-78.9991684,unkown,66,56,122,45
00VI,small_airport,Groundhog Mountain Airport,Hillsville, 36.663299560546875,-80.49949645996094,unkown,1,14,15,1
00WA,small_airport,Howell Airport,Longbranch, 47.17839813232422,-122.77200317382812,unkown,83,87,170,25
00WI,small_airport,Northern Lite Airport,Waupaca, 44.304298400878906,-89.05010223388672,unkown,56,52,108,32
01AL,small_airport,Ware Island Airport,Clanton, 32.94599914550781,-86.51390075683594,unkown,0,1,1,0
01CL,small_airport,Swansboro Country Airport,Placerville, 38.79990005493164,-120.73400115966797,unkown,49,73,122,24
01FA,small_airport,Rybolt Ranch Airport,Orlando, 28.589399337768555,-81.14420318603516,unkown,50,219,269,29
01FL,small_airport,Cedar Knoll Flying Ranch Airport,Geneva, 28.78190040588379,-81.1592025756836,unkown,1339,359,1698,324
01IA,small_airport,Stender Airport,Maysville, 41.66109848022461,-90.74130249023438,unkown,43,113,156,30
01ID,small_airport,Lava Hot Springs Airport,Lava Hot Springs, 42.6082,-112.031998,unkown,3,2,5,2
01II,small_airport,Myers Field,Lizton, 39.8849983215332,-86.50669860839844,unkown,4,12,16,4
01IS,small_airport,William E. Koenig Airport,Dow, 39.01620101928711,-90.31819915771484,unkown,0,2,2,0
01LL,small_airport,Schumaier Restricted Landing Area,Pinckneyville, 38.12580108642578,-89.46389770507812,unkown,31,31,62,9
01MT,small_airport,Crystal Lakes Resort Airport,Fortine, 48.789100646972656,-114.87999725341797,unkown,1,4,5,1
01NH,small_airport,Moore Airfield,Canaan, 43.6445,-72.086998,unkown,25,48,73,13
01OK,closed,Lawrence Airport,Eakly, 35.294498,-98.636496,unkown,5,5,10,5
01PN,small_airport,Bierly(Personal Use) Airport,Bellefonte, 40.930599212646484,-77.73889923095703,unkown,12,48,60,11
01PS,small_airport,Nort's Resort Airport,Meshoppen, 41.59590148925781,-76.02960205078125,unkown,2,2,4,2
01SC,small_airport,York Airport,York, 35.032100677490234,-81.25279998779297,unkown,166,186,352,91
01TE,small_airport,Smith Field,Forney, 32.73759841918945,-96.4280014038086,unkown,6,7,13,5
01TX,small_airport,Mims Farm Ultralightport,Waxahachie, 32.38759994506836,-96.87750244140625,unkown,12,39,51,10
01VA,small_airport,Pickles Airport,Berryville, 39.125,-77.9250030518,unkown,75,76,151,12
01WI,small_airport,Prehn Cranberry Company Airport,Tomah, 44.0099983215332,-90.38919830322266,unkown,9,25,34,8
02AK,small_airport,Rustic Wilderness Airport,Willow, 61.87689971923828,-150.09800720214844,unkown,119,67,186,18
02AL,small_airport,Bass Field,Foley, 30.37150001525879,-87.76439666748047,unkown,137,136,273,30
02AR,closed,Three Rivers Airport,Little Rock, 34.822445,-92.44442,unkown,4,6,10,4
02CD,small_airport,Shannon Field,Clarksdale, 34.129600524902344,-90.52400207519531,unkown,43,27,70,22
